Sigla,Nome,Tipo,Dividendo (%),Patrimônio (R$),VPA (R$),V/VPA,Valor (R$),Cotas,Max52 (R$),Min52 (R$),Valorização (%/ano)
BVAR11,Brasil Varejo,Tijolo: Varejo,2.36,751.86 M,1201.93,0.08320784072283743,100.01,625540,0.00,0.00,0.00
GSFI11,General Shopping e Outlets do Brasil,Tijolo: Shoppings,0.00,814.80 M,11.90,0.20168067226890754,2.40,68482196,5.10,2.00,34.25
AQLL11,Áquilla,Papel: Fundo de Fundos,0.00,147.14 M,1498.04,0.3337694587594457,500.00,98222,500.00,359.99,6.38
TOUR11,Tourmalet II,Tijolo: Desenvolvimento,1.14,2.77 M,276.69,0.3900755357981857,107.93,10000,107.93,103.86,3.92
CXTL11,Caixa TRX Logística Renda,Tijolo: Galpões,0.08,41.13 M,767.44,0.39221307203168976,301.00,53597,409.11,280.00,26.40
EDGA11,Edifício Galeria,Tijolo: Escritórios,0.30,300.07 M,78.72,0.476244918699187,37.49,3812055,62.99,26.99,21.07
XTED11,TRX Edifícios Corporativos,Tijolo: Escritórios,4.37,26.47 M,14.77,0.5010155721056195,7.40,1792557,20.55,5.90,25.00
DOMC11,Reag Renda Imobiliária,Tijolo: Escritórios,1.06,244.15 M,999.05,0.5035783994795056,503.10,244380,690.00,442.00,13.82
CARE11,Brazilian Graveyard and Death Care,Tijolo: Outros,32.96,250.14 M,1.40,0.5214285714285715,0.73,178866845,1.79,0.69,44.27
DMAC11,MAC FII,Tijolo: Desenvolvimento,0.71,116.39 M,745.56,0.5515317345351146,411.20,156108,800.00,370.00,44.36
WTSP11B,Ourinvest RE I,Tijolo: Híbrido,0.41,90.41 M,91.08,0.6258234519104084,57.00,992565,77.00,37.00,18.57
PLRI11,Polo Recebíveis Imobiliários I,Papel: CRIs,0.57,66.45 M,69.64,0.5740953475014359,39.98,954304,70.00,35.00,35.41
EURO11,EUROPAR,Tijolo: Galpões,0.38,117.96 M,307.23,0.601764150636331,184.88,383936,220.00,102.01,22.36
FPNG11,Pedra Negra Renda Imobiliária,Tijolo: Escritórios,0.42,143.16 M,161.58,0.6188884762965713,100.00,886000,0.00,0.00,0.00
FIGS11,General Shopping Ativo e Renda,Tijolo: Shoppings,0.07,279.09 M,97.93,0.6923312570203206,67.80,2850000,95.00,41.00,1.66
ORPD11,Ouro Verde Desenvolvimento Imobiliário I,Tijolo: Desenvolvimento,1.55,38.84 M,133.93,0.6645262450533861,89.00,290000,123.62,80.01,28.01
XPHT11,XP Hotéis,Tijolo: Hotéis,0.40,468.99 M,125.48,0.6773987886515779,85.00,3737642,113.29,73.10,18.11
ALMI11,Torre Almirante,Tijolo: Escritórios,0.03,221.98 M,1996.68,0.6936514614259671,1385.00,111177,2190.00,1190.00,1.07
FIVN11,Vida Nova,Tijolo: Shoppings,0.00,71.56 M,7.60,0.7131578947368421,5.42,9412630,14.98,2.85,86.90
FMOF11,Memorial Office,Tijolo: Escritórios,0.31,66.59 M,131.07,0.6637674525062944,87.00,508008,123.00,78.00,4.44
SAIC11B,Sia Corporate,Tijolo: Escritórios,1.66,78.92 M,55.20,0.72481884057971,40.01,1429740,70.00,31.92,19.98
SADI11,Santander Papeis Imobiliários CDI,Papel: CRIs,0.32,318.75 M,100.23,0.7590541753965878,76.08,3180207,102.99,60.00,26.13
CNES11,CENESP,Tijolo: Escritórios,0.23,282.40 M,95.75,0.7570757180156658,72.49,2949248,99.98,48.00,6.34
RNGO11,Rio Negro,Tijolo: Escritórios,0.52,274.49 M,102.58,0.7936244882043283,81.41,2676000,112.90,58.00,2.70
FVPQ11,Via Parque Shopping,Tijolo: Shoppings,0.51,605.20 M,216.13,0.7940591310785176,171.62,2800149,228.49,123.00,4.66
STRX11,STARX FII,Tijolo: Desenvolvimento,0.16,311.94 M,20283.76,0.7797370901647427,15816.00,15379,0.00,0.00,0.00
RCFA11,Grupo RCFA,Tijolo: Desenvolvimento,0.00,18.79 M,1.61,0.8944099378881987,1.44,11678533,21.30,0.59,28.00
RBVO11,Rio Bravo Crédito Imobiliário II,Papel: CRIs,0.23,15.01 M,29.09,0.8095565486421451,23.55,515824,44.49,17.70,44.59
RBIV11,Rio Bravo Crédito Imobiliário IV,Papel: CRIs,0.46,99.38 M,97.01,0.8246572518297083,80.00,1024362,105.58,69.05,21.57
